,movie_id,movie_date,movie_condition,movie_index,cell_id,cell_mean_speed,cell_initial_distance
277,27,610,Apyrase,1,8,0.05499929338221436,533.0056639480657
278,27,610,Apyrase,1,9,0.046498254995546745,602.7035314128186
279,27,610,Apyrase,1,10,0.049168330597099914,932.1997898198385
280,27,610,Apyrase,1,11,0.042042221137262845,914.5207394549612
281,27,610,Apyrase,1,12,0.04607439909463986,908.4967568850185
282,27,610,Apyrase,1,13,0.035979606980989606,885.4929471975853
283,27,610,Apyrase,1,14,0.04894494568843475,933.4107257205793
284,16,610,Apyrase,2,0,0.06996027689075898,160.0037575888747
285,16,610,Apyrase,2,1,0.06779287258836815,142.17469952293405
286,16,610,Apyrase,2,2,0.03084214144596434,152.55741920477598
287,16,610,Apyrase,2,3,0.06436552421939803,189.38660239486092
288,16,610,Apyrase,2,4,0.06371641375212997,144.9100080685626
289,16,610,Apyrase,2,5,0.0618150292316518,481.50517780363924
290,16,610,Apyrase,2,6,0.03907475626918892,478.25774161609644
291,16,610,Apyrase,2,7,0.041353800938621545,466.850319195694
292,16,610,Apyrase,2,8,0.060884562676942595,326.9717092207357
293,16,610,Apyrase,2,9,0.05011395502909044,465.916892970106
294,16,610,Apyrase,2,10,0.034185078344149945,969.0949626532895
295,16,610,Apyrase,2,11,0.027400883433142356,699.0215762036421
296,16,610,Apyrase,2,12,0.04407069465468504,969.3607964425706
297,16,610,Apyrase,2,13,0.0405494972614582,817.2310954841281
298,16,610,Apyrase,2,14,0.028714821697103102,933.2218697849015
299,14,611,Water,1,0,0.06818309386806656,154.7629799776504
300,14,611,Water,1,1,0.062018090789830574,204.54825319655595
301,14,611,Water,1,2,0.06370165797239805,187.04304302772732
302,14,611,Water,1,3,0.04983043694615176,187.0606158726604
303,14,611,Water,1,4,0.02585210429648808,171.56241398789194
304,14,611,Water,1,5,0.04102343742663011,443.00589332348125
305,14,611,Water,1,6,0.031670091981641585,420.5869167578064
306,14,611,Water,1,7,0.057124413467890815,445.33252840312474
307,14,611,Water,1,8,0.04844643670161469,370.2449130656429
308,14,611,Water,1,9,0.030322820648417015,439.7956272993406
309,14,611,Water,1,10,0.01044304131853337,905.0528668013687
310,14,611,Water,1,11,0.012832522957503445,821.2770925012212
311,14,611,Water,1,12,0.008837656366919223,810.769762749575
312,14,611,Water,1,13,0.007341564342453457,723.0221221845346
313,14,611,Water,1,14,0.007119804416184867,836.5778204110635
